授業科目番号,科目名,系列,年次,学期,単位数
4000,情報科学序説,必修,1,春夏,2
4001,情報科学基礎,必修,1,秋冬,2
4010,プログラミングA,必修,1,春夏,3
4011,プログラミングB,必修,1,秋冬,3
4112,プログラミングC,必修,2,春夏,3
4113,プログラミングD,必修,2,秋冬,3
4120,情報数学基礎,必修,2,春夏,2
4121,電子回路,必修,2,春夏,2
4123,情報解析A,必修,2,秋冬,2
4124,データ構造とアルゴリズム,必修,2,秋冬,2
4125,情報技術者と社会,必修,3,秋冬,2
4130,基礎工学PBL(情報工学A),必修,2,春夏,2
4131,基礎工学PBL(情報工学B),必修,2,秋冬,2
4132,情報科学演習C,必修,3,春夏,2
4133,情報科学演習D,必修,3,秋冬,2
4140,情報科学実験A,必修,2,春夏秋冬,2
4141,情報科学実験B,必修,3,春夏,1
4142,情報科学実験C,必修,3,秋冬,1
4145,情報科学ゼミナールA,必修,3,春夏,1
4150,論理設計,必修,2,秋冬,2
4151,計算機言語,必修,2,秋冬,2
4152,計算機アーキテクチャ,必修,2,秋冬,2
4157,オペレーティングシステム,必修,3,春夏,2
4163,データベース,必修,3,秋冬,2
4164,情報ネットワーク,必修,3,春,2
4166,言語処理工学A,必修,3,秋,2
0090,防災特論,必修,3,春,1
0099,特別研究,必修,4,春夏秋冬,8
4122,ディジタル回路,A群,2,秋,2
4155,情報解析B,A群,3,春夏,2
4156,情報論理学,A群,3,春夏,2
4158,プログラム設計,A群,3,夏,2
4159,情報論A,A群,3,春夏,2
4160,情報論B,A群,3,秋冬,2
4187,計算理論,A群,3,春夏,2
4165,ソフトウェア構成論,A群,3,秋冬,2
4167,計算機援用工学A,A群,3,秋冬,2
0011,数学A,B群,2,春夏,2
0012,数学B,B群,2,春夏,2
0021,数学C,B群,2,秋冬,2
0022,数学D,B群,2,秋冬,2
0044,計画数学,B群,3,春夏,2
0032,統計数学A,B群,3,春夏,2
0042,統計数学B,B群,3,秋冬,2
4433,応用数理A,B群,3,春夏,2
4442,応用数理B,B群,3,秋冬,2
4434,応用数理C,B群,3,春夏,2
4443,応用数理D,B群,3,秋冬,2
4181,ヒューマン・コンピュータ・インタラクション,C群,4,春夏,2
4183,知識工学,C群,4,春夏,2
4184,計算機援用工学B,C群,4,春夏,2
4292,情報科学特論A,C群,4,春夏,2
4440,数値計算,C群,3,春,2
0045,データ科学,C群,4,春夏,2
4188,情報セキュリティマネジメント論,C群,3,秋冬,2
4189,スーパーコンピューティング概論,C群,4,春夏,2
4190,マルチモーダルデータ分析,C群,3,秋冬,2
4191,ネットワークシステム運用論,C群,4,春夏,2
4192,社会シミュレーション,C群,4,春夏,2
4193,無線センサデバイス工学,C群,3,秋冬,2
4194,人工知能と脳,C群,4,春夏,2
4195,実践インターンシップ,C群,3,春夏秋冬,1
4196,実践情報学特論,C群,3,春夏秋冬,1
0091,技術経営学,C群,4,秋冬,2
0097,科学技術論A1,C群,4,春,1
0098,科学技術論A2,C群,4,夏,1
0100,科学技術論B1,C群,4,春,1
0101,科学技術論B2,C群,4,夏,1
0102,基礎工学のための量子物理学1,高度教養教育科目,2,秋,1
0103,基礎工学のための量子物理学2,高度教養教育科目,2,冬,1
0117,基礎工学のための光物理学,高度教養教育科目,2,秋,1
0104,基礎工学のための化学1,高度教養教育科目,2,秋,1
0105,基礎工学のための化学2,高度教養教育科目,2,冬,1
0118,基礎工学のための応用力学,高度教養教育科目,2,冬,1
0107,基礎工学のための知能システム学,高度教養教育科目,2,秋,1
0108,基礎工学のための生命科学,高度教養教育科目,2,冬,1
0109,基礎工学のためのサイバネティックス,高度教養教育科目,2,冬,1
4146,情報科学ゼミナールB,高度国際性涵養教育科目,3,秋冬,1
0096,科学技術英語,高度国際性涵養教育科目,4,秋冬,2
0119,Frontier Engineering Science1,高度国際性涵養教育科目,3,春夏,1
0120,Frontier Engineering Science2,高度国際性涵養教育科目,2,秋冬,1
